,Country,Capital,Population,Area
172,Panama,Panama City,3410676,
173,Peru,Lima,29907003,
174,French Polynesia,Papeete,270485,
175,Papua New Guinea,Port Moresby,6064515,
176,Philippines,Manila,99900177,
177,Pakistan,Islamabad,184404791,
178,Poland,Warsaw,38500000,
179,Saint Pierre and Miquelon,Saint-Pierre,7012,
180,Pitcairn Islands,Adamstown,46,
181,Puerto Rico,San Juan,3916632,
182,Palestine,None,3800000,
183,Portugal,Lisbon,10676000,
184,Palau,Melekeok,19907,
185,Paraguay,Asunción,6375830,
186,Qatar,Doha,840926,
187,Réunion,Saint-Denis,776948,
188,Romania,Bucharest,21959278,
189,Serbia,Belgrade,7344847,
190,Russia,Moscow,140702000,
191,Rwanda,Kigali,11055976,
192,Saudi Arabia,Riyadh,25731776,
193,Solomon Islands,Honiara,559198,
194,Seychelles,Victoria,88340,
195,Sudan,Khartoum,35000000,
196,Sweden,Stockholm,9828655,
197,Singapore,Singapore,4701069,
198,Saint Helena,Jamestown,7460,
199,Slovenia,Ljubljana,2007000,
200,Svalbard and Jan Mayen,Longyearbyen,2550,
201,Slovakia,Bratislava,5455000,
202,Sierra Leone,Freetown,5245695,
203,San Marino,San Marino,31477,
204,Senegal,Dakar,12323252,
205,Somalia,Mogadishu,10112453,
206,Suriname,Paramaribo,492829,
207,South Sudan,Juba,8260490,
208,São Tomé and Príncipe,São Tomé,175808,
209,El Salvador,San Salvador,6052064,
210,Sint Maarten,Philipsburg,37429,
211,Syria,Damascus,22198110,
212,Swaziland,Mbabane,1354051,
213,Turks and Caicos Islands,Cockburn Town,20556,
214,Chad,N'Djamena,10543464,
215,French Southern Territories,Port-aux-Français,140,
216,Togo,Lomé,6587239,
217,Thailand,Bangkok,67089500,
218,Tajikistan,Dushanbe,7487489,
219,Tokelau,None,1466,
220,East Timor,Dili,1154625,
221,Turkmenistan,Ashgabat,4940916,
222,Tunisia,Tunis,10589025,
223,Tonga,Nuku'alofa,122580,
224,Turkey,Ankara,77804122,
225,Trinidad and Tobago,Port of Spain,1228691,
226,Tuvalu,Funafuti,10472,
227,Taiwan,Taipei,22894384,
228,Tanzania,Dodoma,41892895,
229,Ukraine,Kiev,45415596,
230,Uganda,Kampala,33398682,
231,U.S. Minor Outlying Islands,None,0,
232,United States,Washington,310232863,
233,Uruguay,Montevideo,3477000,
234,Uzbekistan,Tashkent,27865738,
235,Vatican City,Vatican City,921,
236,Saint Vincent and the Grenadines,Kingstown,104217,
237,Venezuela,Caracas,27223228,
238,British Virgin Islands,Road Town,21730,
239,U.S. Virgin Islands,Charlotte Amalie,108708,
240,Vietnam,Hanoi,89571130,
241,Vanuatu,Port Vila,221552,
242,Wallis and Futuna,Mata-Utu,16025,
243,Samoa,Apia,192001,
244,Kosovo,Pristina,1800000,
245,Yemen,Sanaa,23495361,
246,Mayotte,Mamoudzou,159042,
247,South Africa,Pretoria,49000000,
248,Zambia,Lusaka,13460305,
249,Zimbabwe,Harare,11651858,
